trialnum,filename,facehouse,girlboy
231,visual\face_house\houses\house8.3.jpg,0,0
232,visual\face_house\houses\house7.3.jpg,0,0
233,visual\face_house\houses\house11.3.jpg,0,0
234,visual\face_house\houses\house1.3.jpg,0,0
235,visual\face_house\houses\house5.3.jpg,0,0
236,visual\face_house\faces\Janie_3.jpg,1,0
237,visual\face_house\houses\house12.3.jpg,0,0
238,visual\face_house\houses\house12.3.jpg,0,0
239,visual\face_house\houses\house12.3.jpg,0,0
240,visual\face_house\houses\house7.3.jpg,0,0
241,visual\face_house\houses\house4.3.jpg,0,0
242,visual\face_house\houses\house1.3.jpg,0,0
243,visual\face_house\faces\Wallace_3.jpg,1,1
244,visual\face_house\faces\Frank_3.jpg,1,1
245,visual\face_house\faces\Tim_3.jpg,1,1
246,visual\face_house\faces\Blake_3.jpg,1,1
247,visual\face_house\faces\Jodi_3.jpg,1,0
248,visual\face_house\faces\Joe_3.jpg,1,1
249,visual\face_house\houses\house3.3.jpg,0,1
250,visual\face_house\houses\house11.3.jpg,0,1
251,visual\face_house\faces\Annie_3.jpg,1,0
252,visual\face_house\houses\house10.3.jpg,0,0
253,visual\face_house\faces\Annie_3.jpg,1,0
254,visual\face_house\houses\house10.3.jpg,0,0
255,visual\face_house\faces\Joe_3.jpg,1,1
256,visual\face_house\houses\house8.3.jpg,0,1
257,visual\face_house\houses\house3.3.jpg,0,1
258,visual\face_house\houses\house11.3.jpg,0,1
259,visual\face_house\faces\Joe_3.jpg,1,1
260,visual\face_house\houses\house1.3.jpg,0,1
261,visual\face_house\houses\house1.3.jpg,0,1
262,visual\face_house\houses\house11.3.jpg,0,1
263,visual\face_house\houses\house10.3.jpg,0,1
264,visual\face_house\faces\Frank_3.jpg,1,1
265,visual\face_house\faces\Wallace_3.jpg,1,1
266,visual\face_house\faces\Jodi_3.jpg,1,0
267,visual\face_house\houses\house10.3.jpg,0,0
268,visual\face_house\faces\Joe_3.jpg,1,1
269,visual\face_house\faces\Jodi_3.jpg,1,0
270,visual\face_house\houses\house9.3.jpg,0,0
271,visual\face_house\faces\Joe_3.jpg,1,1
272,visual\face_house\houses\house9.3.jpg,0,1
273,visual\face_house\houses\house12.3.jpg,0,1
274,visual\face_house\houses\house6.3.jpg,0,1
275,visual\face_house\houses\house6.3.jpg,0,1
276,visual\face_house\faces\Jodi_3.jpg,1,0
277,visual\face_house\houses\house6.3.jpg,0,0
278,visual\face_house\faces\Wallace_3.jpg,1,1
279,visual\face_house\faces\Joan_3.jpg,1,0
280,visual\face_house\houses\house8.3.jpg,0,0
281,visual\face_house\faces\Jodi_3.jpg,1,0
282,visual\face_house\faces\Joe_3.jpg,1,1
283,visual\face_house\houses\house4.3.jpg,0,1
284,visual\face_house\faces\Estelle_3.jpg,1,0
285,visual\face_house\faces\Janie_3.jpg,1,0
286,visual\face_house\faces\Tim_3.jpg,1,1
287,visual\face_house\houses\house11.3.jpg,0,1
288,visual\face_house\faces\Frank_3.jpg,1,1
289,visual\face_house\faces\Annie_3.jpg,1,0
290,visual\face_house\faces\Joan_3.jpg,1,0
291,visual\face_house\houses\house8.3.jpg,0,0
292,visual\face_house\houses\house7.3.jpg,0,0
293,visual\face_house\faces\Don_3.jpg,1,1
294,visual\face_house\houses\house7.3.jpg,0,1
295,visual\face_house\faces\Tom_3.jpg,1,1
296,visual\face_house\faces\Joe_3.jpg,1,1
297,visual\face_house\houses\house9.3.jpg,0,1
298,visual\face_house\houses\house7.3.jpg,0,1
299,visual\face_house\houses\house8.3.jpg,0,1
300,visual\face_house\houses\house8.3.jpg,0,1
301,visual\face_house\houses\house10.3.jpg,0,1
302,visual\face_house\faces\Tom_3.jpg,1,1
303,visual\face_house\faces\Frank_3.jpg,1,1
304,visual\face_house\faces\Wallace_3.jpg,1,1
305,visual\face_house\houses\house1.3.jpg,0,1
306,visual\face_house\faces\Estelle_3.jpg,1,0
307,visual\face_house\houses\house7.3.jpg,0,0
308,visual\face_house\houses\house7.3.jpg,0,0
309,visual\face_house\faces\Estelle_3.jpg,1,0
310,visual\face_house\faces\Joan_3.jpg,1,0
311,visual\face_house\faces\Blake_3.jpg,1,1
312,visual\face_house\houses\house7.3.jpg,0,1
313,visual\face_house\faces\Blake_3.jpg,1,1
314,visual\face_house\houses\house7.3.jpg,0,1
315,visual\face_house\faces\Estelle_3.jpg,1,0
316,visual\face_house\faces\Don_3.jpg,1,1
317,visual\face_house\faces\Joe_3.jpg,1,1
318,visual\face_house\faces\Janie_3.jpg,1,0
319,visual\face_house\faces\Don_3.jpg,1,1
320,visual\face_house\faces\Estelle_3.jpg,1,0
321,visual\face_house\faces\Jodi_3.jpg,1,0
322,visual\face_house\faces\Don_3.jpg,1,1
323,visual\face_house\houses\house11.3.jpg,0,1
324,visual\face_house\faces\Estelle_3.jpg,1,0
325,visual\face_house\houses\house8.3.jpg,0,0
326,visual\face_house\faces\Annie_3.jpg,1,0
327,visual\face_house\houses\house9.3.jpg,0,0
328,visual\face_house\houses\house11.3.jpg,0,0
329,visual\face_house\houses\house1.3.jpg,0,0
330,visual\face_house\faces\Don_3.jpg,1,1
331,visual\face_house\houses\house7.3.jpg,0,1
332,visual\face_house\houses\house9.3.jpg,0,1
333,visual\face_house\faces\Don_3.jpg,1,1
334,visual\face_house\faces\Wallace_3.jpg,1,1
335,visual\face_house\houses\house5.3.jpg,0,1
336,visual\face_house\houses\house3.3.jpg,0,1
337,visual\face_house\houses\house8.3.jpg,0,1
338,visual\face_house\houses\house5.3.jpg,0,1
339,visual\face_house\faces\Don_3.jpg,1,1
340,visual\face_house\houses\house2.3.jpg,0,1
341,visual\face_house\faces\Tom_3.jpg,1,1
342,visual\face_house\houses\house2.3.jpg,0,1
343,visual\face_house\faces\Tom_3.jpg,1,1
344,visual\face_house\houses\house9.3.jpg,0,1
345,visual\face_house\faces\Blake_3.jpg,1,1
346,visual\face_house\faces\Joan_3.jpg,1,0
347,visual\face_house\houses\house5.3.jpg,0,0
348,visual\face_house\houses\house8.3.jpg,0,0
349,visual\face_house\faces\Jodi_3.jpg,1,0
350,visual\face_house\houses\house11.3.jpg,0,0
351,visual\face_house\houses\house12.3.jpg,0,0
352,visual\face_house\houses\house3.3.jpg,0,0
353,visual\face_house\houses\house3.3.jpg,0,0
354,visual\face_house\faces\Tom_3.jpg,1,1
355,visual\face_house\houses\house11.3.jpg,0,1
356,visual\face_house\houses\house8.3.jpg,0,1
357,visual\face_house\houses\house5.3.jpg,0,1
358,visual\face_house\faces\Joan_3.jpg,1,0
359,visual\face_house\faces\Janie_3.jpg,1,0
360,visual\face_house\houses\house11.3.jpg,0,0
361,visual\face_house\houses\house11.3.jpg,0,0
362,visual\face_house\faces\Estelle_3.jpg,1,0
363,visual\face_house\faces\Estelle_3.jpg,1,0
364,visual\face_house\houses\house5.3.jpg,0,0
365,visual\face_house\houses\house7.3.jpg,0,0
366,visual\face_house\houses\house1.3.jpg,0,0
367,visual\face_house\houses\house4.3.jpg,0,0
368,visual\face_house\faces\Joe_3.jpg,1,1
369,visual\face_house\faces\Don_3.jpg,1,1
