timestamps,CP5,F5,C3,CP3,CP6,F6,C4,CP4,stim
1601067925429.0,-23355.001953125,18015.193359375,12251.3935546875,-38047.67578125,-19704.783203125,-370.68133544921875,738.2110595703125,-52824.83984375,0.0
1601067925433.0,-23354.80078125,18015.4609375,12249.8515625,-38047.875,-19706.125,-371.4189453125,737.0040893554688,-52824.1015625,0.0
1601067925437.0,-23352.923828125,18020.021484375,12250.521484375,-38047.9453125,-19703.77734375,-370.2119445800781,739.6192016601562,-52822.9609375,0.0
1601067925441.0,-23354.935546875,18020.69140625,12249.3818359375,-38050.42578125,-19709.076171875,-376.51513671875,738.7474975585938,-52828.05859375,0.0
1601067925445.0,-23356.544921875,18024.044921875,12250.9912109375,-38051.765625,-19710.1484375,-372.6929931640625,743.1060791015625,-52828.19140625,0.0
1601067925449.0,-23360.90234375,18031.822265625,12257.0927734375,-38054.24609375,-19714.103515625,-365.4510192871094,743.5084228515625,-52832.4140625,0.0
1601067925453.0,-23365.6640625,18038.259765625,12257.2275390625,-38057.3984375,-19715.51171875,-352.5093688964844,751.9573974609375,-52830.26953125,0.0
1601067925457.0,-23359.16015625,18038.39453125,12256.0205078125,-38052.03515625,-19707.33203125,-362.0982666015625,755.779541015625,-52826.1796875,0.0
1601067925461.0,-23361.439453125,18037.1875,12256.2216796875,-38050.625,-19711.82421875,-376.2469177246094,747.33056640625,-52832.21484375,0.0
1601067925465.0,-23364.390625,18027.93359375,12255.6181640625,-38050.2890625,-19712.5625,-381.3431091308594,741.5638427734375,-52831.34375,0.0
1601067925469.0,-23370.42578125,18030.28125,12252.1982421875,-38054.44921875,-19722.75390625,-392.74249267578125,730.7679443359375,-52839.32421875,0.0
1601067925473.0,-23376.728515625,18035.376953125,12246.431640625,-38062.76171875,-19736.634765625,-399.4480285644531,719.5697021484375,-52850.921875,0.0
1601067925477.0,-23377.3984375,18036.91796875,12243.81640625,-38063.63671875,-19739.517578125,-416.2118225097656,712.193603515625,-52855.08203125,0.0
1601067925481.0,-23375.3203125,18037.119140625,12244.21875,-38062.16015625,-19733.416015625,-414.13311767578125,714.2723388671875,-52849.11328125,0.0
1601067925485.0,-23374.11328125,18040.0703125,12245.42578125,-38062.83203125,-19734.154296875,-417.4188232421875,714.74169921875,-52848.44140625,0.0
1601067925489.0,-23376.9296875,18045.970703125,12246.029296875,-38068.73046875,-19741.462890625,-426.8736267089844,705.55517578125,-52858.3671875,0.0
1601067925493.0,-23383.09765625,18050.53125,12244.419921875,-38074.02734375,-19751.587890625,-438.2059631347656,695.5639038085938,-52868.4921875,0.0
1601067925497.0,-23380.1484375,18043.625,12247.1689453125,-38071.2109375,-19750.248046875,-441.3575439453125,696.1004028320312,-52867.08203125,0.0
1601067925501.0,-23379.41015625,18040.337890625,12248.2421875,-38073.0234375,-19750.515625,-449.3371276855469,692.7476196289062,-52869.02734375,0.0
1601067925505.0,-23387.255859375,18033.365234375,12241.201171875,-38084.0859375,-19763.390625,-462.21173095703125,679.470703125,-52885.65625,0.0
1601067925509.0,-23392.6875,18027.12890625,12233.8251953125,-38092.0,-19769.15625,-466.771484375,670.4852905273438,-52893.5703125,0.0
1601067925513.0,-23395.97265625,18021.228515625,12226.1806640625,-38093.20703125,-19770.6328125,-468.38079833984375,665.120849609375,-52894.30859375,0.0
1601067925517.0,-23398.052734375,18021.49609375,12219.5419921875,-38091.12890625,-19772.375,-469.9230651855469,662.77392578125,-52897.2578125,0.0
1601067925521.0,-23397.650390625,18028.134765625,12217.5302734375,-38089.31640625,-19769.626953125,-461.1388244628906,664.919677734375,-52896.51953125,0.0
1601067925525.0,-23396.576171875,18028.603515625,12217.798828125,-38087.4375,-19769.693359375,-464.4245300292969,663.3103637695312,-52897.125,0.0
1601067925529.0,-23394.029296875,18024.37890625,12221.5537109375,-38084.421875,-19767.4140625,-466.5032653808594,667.6689453125,-52894.57421875,0.0
1601067925533.0,-23393.9609375,18028.0,12222.3583984375,-38084.421875,-19760.841796875,-465.63153076171875,671.9605102539062,-52891.69140625,0.0
1601067925537.0,-23398.990234375,18035.443359375,12219.876953125,-38088.78125,-19768.6875,-467.30792236328125,668.8088989257812,-52896.05078125,0.0
1601067925541.0,-23399.794921875,18036.046875,12222.828125,-38089.18359375,-19765.603515625,-468.38079833984375,671.424072265625,-52892.5625,0.0
1601067925545.0,-23396.443359375,18033.701171875,12229.6005859375,-38085.02734375,-19760.23828125,-468.8501892089844,673.77099609375,-52887.265625,0.0
