timestamps,TP9,AF7,AF8,TP10,Marker0
1594888585.272,-17.578,-20.508,-329.102,-65.430,0
1594888585.276,-8.301,-5.859,-290.039,-64.941,0
1594888585.280,-14.160,-145.996,-361.816,-57.617,0
1594888585.283,-21.973,-320.312,-523.926,-57.617,0
1594888585.287,-18.555,179.688,-312.500,-57.129,0
1594888585.291,-14.160,258.789,-269.531,-54.688,0
1594888585.295,-22.461,214.355,-246.094,-63.477,0
1594888585.299,-29.785,-185.547,-446.777,-62.500,0
1594888585.294,-29.297,-221.191,-496.094,-58.105,0
1594888585.298,-20.020,336.914,-212.402,-62.012,0
1594888585.302,-16.602,38.086,-293.945,-65.430,0
1594888585.306,-19.043,-54.199,-342.285,-62.012,0
1594888585.310,-18.066,-228.516,-467.773,-58.105,0
1594888585.314,-11.719,-234.375,-507.812,-61.523,0
1594888585.318,-13.672,312.988,-260.254,-60.547,0
1594888585.321,-23.438,321.777,-251.465,-56.152,0
1594888585.325,-23.926,56.641,-342.285,-58.105,0
1594888585.329,-23.926,-287.598,-467.773,-49.805,0
1594888585.333,-14.648,109.375,-317.871,-45.410,0
1594888585.337,-13.184,367.676,-235.352,-53.711,0
1594888585.335,-21.973,2.441,-362.305,-50.293,0
1594888585.339,-21.484,-53.711,-370.117,-50.293,0
1594888585.343,-10.254,-6.836,-357.910,-57.617,0
1594888585.347,-11.719,307.617,-248.047,-55.176,0
1594888585.351,-23.438,103.027,-354.492,-54.688,0
1594888585.355,-24.414,-49.316,-375.977,-59.082,0
1594888585.359,-15.137,0.977,-391.602,-61.035,0
1594888585.362,-4.883,-40.527,-422.363,-54.199,0
1594888585.366,-10.254,317.383,-283.691,-55.664,0
1594888585.370,-17.090,329.590,-291.504,-65.430,0
1594888585.374,-15.137,189.941,-254.883,-64.453,0
1594888585.378,-14.160,107.422,-209.473,-61.523,0
1594888585.388,-13.672,63.965,-235.352,-65.430,0
1594888585.392,-18.555,10.742,-317.871,-70.312,0
1594888585.396,-21.484,-190.430,-373.047,-65.430,0
1594888585.400,-15.137,9.766,-276.367,-64.941,0
1594888585.404,-9.766,-236.816,-481.934,-61.035,0
1594888585.408,-13.184,-531.250,-709.961,-53.223,0
1594888585.412,-20.996,314.941,-373.535,-62.988,0
1594888585.415,-20.996,669.434,-153.809,-61.523,0
1594888585.419,-16.602,252.930,-243.652,-55.176,0
1594888585.423,-28.809,-143.066,-385.254,-56.641,0
1594888585.427,-37.109,86.426,-272.461,-60.547,0
1594888585.431,-22.949,207.031,-223.633,-55.664,0
1594888585.444,-8.301,64.453,-259.277,-41.992,0
1594888585.448,-6.348,-98.633,-349.609,-41.992,0
1594888585.452,-13.184,-208.008,-391.602,-46.875,0
1594888585.456,-9.766,71.289,-304.688,-50.293,0
1594888585.460,-4.883,79.102,-325.195,-50.293,0
1594888585.464,-12.695,-133.789,-382.812,-53.223,0
1594888585.468,-15.625,-253.418,-501.953,-51.270,0
1594888585.471,-11.230,-442.871,-644.531,-44.922,0
1594888585.475,-10.254,210.938,-362.305,-47.363,0
1594888585.479,-8.789,502.930,-241.211,-45.898,0
1594888585.483,-16.113,177.246,-304.688,-53.711,0
1594888585.487,-15.625,-16.113,-283.203,-63.965,0
1594888585.481,-11.719,52.734,-222.656,-64.941,0
1594888585.485,-9.766,178.223,-201.172,-62.988,0
1594888585.489,-20.020,-174.805,-360.352,-61.523,0
1594888585.493,-32.227,-205.078,-419.434,-64.453,0
1594888585.497,-28.809,-341.797,-511.230,-65.918,0
1594888585.501,-28.809,-249.023,-517.578,-71.289,0
1594888585.505,-20.996,307.129,-333.008,-68.359,0
1594888585.508,-21.973,309.082,-305.176,-60.059,0
1594888585.512,-17.090,134.766,-282.715,-54.199,0
1594888585.516,-4.395,-221.191,-367.188,-49.805,0
1594888585.520,-11.230,-19.043,-355.957,-47.852,0
1594888585.524,-23.438,220.215,-316.406,-51.758,0
1594888585.537,-23.438,39.062,-323.242,-59.570,0
1594888585.541,-18.555,-54.688,-351.562,-63.477,0
1594888585.545,-19.531,-164.551,-382.812,-53.223,0
1594888585.549,-22.461,79.590,-330.078,-52.246,0
1594888585.553,-17.578,169.434,-336.914,-55.176,0
1594888585.557,-16.113,-14.160,-336.914,-48.828,0
1594888585.561,-17.090,-243.652,-471.191,-43.945,0
1594888585.564,-23.926,-235.840,-524.414,-39.551,0
1594888585.568,-28.809,252.930,-306.641,-39.551,0
